idx,geom
80,"POLYGON((9.748859098374865 52.349989446637395,9.748859098374865 52.35009933504704,9.748309656326624 52.35086855391458,9.747650325868737 52.35163777278212,9.747540437459088 52.351747661191766,9.74743054904944 52.351747661191766,9.747870102688033 52.35119821914353,9.748859098374865 52.349989446637395))"
81,"POLYGON((9.74017791401266 52.360758510782915,9.74017791401266 52.36086839919256,9.73962847196442 52.3616376180601,9.73896914150653 52.361857394879394,9.738859253096882 52.361857394879394,9.739079029916178 52.3616376180601,9.74017791401266 52.360758510782915))"
82,"POLYGON((9.750287647700292 52.3433961420585,9.750727201338885 52.34317636523921,9.751496420206422 52.34317636523921,9.75226563907396 52.343286253648856,9.75226563907396 52.34350603046815,9.750727201338885 52.34350603046815,9.750287647700292 52.3433961420585))"
83,"POLYGON((9.745122892446828 52.354604759842616,9.745122892446828 52.35471464825226,9.744243785169642 52.35581353234875,9.742925124253864 52.35724208167417,9.742815235844215 52.35724208167417,9.743254789482808 52.35647286280663,9.745122892446828 52.354604759842616))"
84,"POLYGON((9.747320660639792 52.34394558410674,9.747540437459088 52.345374133432166,9.745672334495069 52.345593910251466,9.745342669266124 52.34526424502252,9.745672334495069 52.34482469138393,9.745782222904717 52.34471480297428,9.746551441772255 52.34427524933569,9.746990995410847 52.344055472516395,9.747320660639792 52.34394558410674))"
85,"POLYGON((9.75160630861607 52.34735212480584,9.751166754977477 52.345374133432166,9.751386531796774 52.34515435661287,9.75226563907396 52.345374133432166,9.752924969531849 52.345593910251466,9.751716197025718 52.34735212480584,9.75160630861607 52.34735212480584))"
86,"POLYGON((9.736331819674973 52.3616376180601,9.736331819674973 52.36196728328905,9.736112042855677 52.36196728328905,9.735452712397787 52.361527729650454,9.73534282398814 52.3614178412408,9.735672489217084 52.36064862237327,9.735782377626732 52.360538733963615,9.73589226603638 52.360538733963615,9.736331819674973 52.3616376180601))"
87,"POLYGON((9.736002154446028 52.36031895714432,9.736661484903918 52.3588904078189,9.736771373313566 52.3588904078189,9.73655159649427 52.35976951509608,9.736331819674973 52.36009918032502,9.736002154446028 52.36031895714432))"
88,"POLYGON((9.745122892446828 52.34548402184182,9.745672334495069 52.34570379866111,9.745122892446828 52.34823123208302,9.744793227217883 52.34757190162513,9.744793227217883 52.34625324070935,9.745122892446828 52.34548402184182))"
89,"POLYGON((9.74314490107316 52.3525168800593,9.743254789482808 52.35240699164965,9.745232780856476 52.351527884372466,9.74435367357929 52.35207732642071,9.74314490107316 52.3525168800593))"
90,"POLYGON((9.740287802422309 52.355373978710155,9.739408695145123 52.35702230485488,9.739408695145123 52.35647286280663,9.740287802422309 52.35526409030051,9.740287802422309 52.355373978710155))"
91,"POLYGON((9.740507579241605 52.36042884555397,9.740397690831957 52.36042884555397,9.740397690831957 52.360209068734676,9.741606463338085 52.35878051940925,9.742265793795974 52.35812118895136,9.740507579241605 52.36042884555397))"
92,"POLYGON((9.751386531796774 52.34757190162513,9.749408540423106 52.349220227769855,9.750177759290644 52.34779167844443,9.750507424519588 52.34757190162513,9.751386531796774 52.347462013215484,9.751386531796774 52.34757190162513))"
93,"POLYGON((9.738090034229344 52.36251672533729,9.736991150132862 52.36218706010834,9.737430703771455 52.361857394879394,9.738199922638993 52.3616376180601,9.738749364687234 52.361857394879394,9.738859253096882 52.36196728328905,9.738529587867937 52.36251672533729,9.738090034229344 52.36251672533729))"
94,"POLYGON((9.745782222904717 52.350758665504934,9.745342669266124 52.34856089731197,9.745452557675772 52.34856089731197,9.746001999724013 52.34911033936021,9.746001999724013 52.35064877709528,9.745892111314365 52.350758665504934,9.745782222904717 52.350758665504934))"
95,"POLYGON((9.753144746351145 52.34526424502252,9.75226563907396 52.34394558410674,9.752705192712552 52.3436159188778,9.753144746351145 52.3436159188778,9.754133742037979 52.34416536092604,9.753144746351145 52.34526424502252))"
96,"POLYGON((9.74918876360381 52.34372580728745,9.747650325868737 52.34372580728745,9.747870102688033 52.3436159188778,9.748968986784513 52.3433961420585,9.749408540423106 52.3433961420585,9.74973820565205 52.34350603046815,9.74918876360381 52.34372580728745))"
97,"POLYGON((9.747320660639792 52.35196743801106,9.747320660639792 52.35207732642071,9.747100883820496 52.35240699164965,9.746441553362606 52.35317621051719,9.745672334495069 52.35372565256543,9.745672334495069 52.35361576415578,9.747320660639792 52.35196743801106))"
98,"POLYGON((9.738090034229344 52.35834096577066,9.739079029916178 52.35735197008382,9.739079029916178 52.35746185849347,9.738859253096882 52.35779152372241,9.738199922638993 52.35834096577066,9.738090034229344 52.35834096577066))"
99,"POLYGON((9.7377603690004 52.35856074258995,9.737870257410048 52.358450854180305,9.738749364687234 52.35779152372241,9.738859253096882 52.35779152372241,9.739079029916178 52.358450854180305,9.73896914150653 52.3588904078189,9.738419699458289 52.35911018463819,9.73830981104864 52.35911018463819,9.7377603690004 52.35856074258995))"
100,"POLYGON((9.744793227217883 52.34757190162513,9.744793227217883 52.346912571167245,9.74556244608542 52.34878067413126,9.744903115627531 52.34812134367338,9.744793227217883 52.34757190162513))"
101,"POLYGON((9.742265793795974 52.35812118895136,9.743254789482808 52.35647286280663,9.744463561988939 52.355373978710155,9.744243785169642 52.35581353234875,9.742265793795974 52.35812118895136))"
102,"POLYGON((9.737650480590752 52.35943984986714,9.737210926952159 52.359989291915376,9.736441708084621 52.36009918032502,9.736221931265325 52.36009918032502,9.736221931265325 52.359989291915376,9.73655159649427 52.359220073047844,9.736991150132862 52.359000296228544,9.737650480590752 52.359220073047844,9.737650480590752 52.35943984986714))"
103,"POLYGON((9.748309656326624 52.35086855391458,9.748199767916976 52.35086855391458,9.749078875194161 52.34965978140845,9.749408540423106 52.349220227769855,9.74973820565205 52.34889056254091,9.74918876360381 52.34965978140845,9.748309656326624 52.35086855391458))"
104,"POLYGON((9.738529587867937 52.36251672533729,9.738090034229344 52.36251672533729,9.73710103854251 52.36229694851799,9.73655159649427 52.362077171698694,9.736881261723214 52.362077171698694,9.738529587867937 52.36240683692764,9.738529587867937 52.36251672533729))"
105,"POLYGON((9.745672334495069 52.35372565256543,9.747870102688033 52.35119821914353,9.747979991097681 52.35119821914353,9.747100883820496 52.35240699164965,9.746441553362606 52.35317621051719,9.745672334495069 52.35372565256543))"
106,"POLYGON((9.7407273560609 52.36009918032502,9.73896914150653 52.35911018463819,9.739079029916178 52.3588904078189,9.739408695145123 52.3586706309996,9.740287802422309 52.3586706309996,9.740617467651251 52.35878051940925,9.7407273560609 52.36009918032502))"
107,"POLYGON((9.745672334495069 52.34482469138393,9.746001999724013 52.344604914564634,9.746551441772255 52.34427524933569,9.747320660639792 52.34394558410674,9.746331664952958 52.34449502615499,9.745672334495069 52.34482469138393))"
108,"POLYGON((9.740287802422309 52.35526409030051,9.740287802422309 52.355373978710155,9.739408695145123 52.357132193264526,9.739079029916178 52.35746185849347,9.739079029916178 52.35735197008382,9.739738360374067 52.35581353234875,9.739958137193364 52.3554838671198,9.740287802422309 52.35526409030051))"
109,"POLYGON((9.739188918325826 52.3616376180601,9.740397690831957 52.36042884555397,9.740507579241605 52.36042884555397,9.73962847196442 52.3616376180601,9.739188918325826 52.3616376180601))"
110,"POLYGON((9.73534282398814 52.3614178412408,9.735452712397787 52.36086839919256,9.736002154446028 52.36031895714432,9.736331819674973 52.3616376180601,9.736331819674973 52.361857394879394,9.736221931265325 52.361857394879394,9.735452712397787 52.361527729650454,9.73534282398814 52.3614178412408))"
111,"POLYGON((9.737980145819696 52.360209068734676,9.7377603690004 52.36064862237327,9.737320815361807 52.36086839919256,9.736991150132862 52.36086839919256,9.736991150132862 52.360758510782915,9.73710103854251 52.36009918032502,9.737650480590752 52.36009918032502,9.737980145819696 52.360209068734676))"
112,"POLYGON((9.745452557675772 52.34526424502252,9.744793227217883 52.3468026827576,9.744793227217883 52.34625324070935,9.745122892446828 52.34548402184182,9.745342669266124 52.34504446820323,9.745452557675772 52.34504446820323,9.745452557675772 52.34526424502252))"
113,"POLYGON((9.746661330181903 52.3495498929988,9.746001999724013 52.35064877709528,9.746001999724013 52.34911033936021,9.746661330181903 52.349440004589155,9.746661330181903 52.3495498929988))"
116,"POLYGON((9.745330684221924 52.347013643570506,9.74458333125052 52.346619356227535,9.744764507728437 52.346072881990345,9.745274066572575 52.34673003373146,9.745330684221924 52.347013643570506))"
3,"POLYGON((9.744772068408919 52.346610160149304,9.752148730510589 52.34637236115062,9.753627955628602 52.34395862893344,9.751039311672079 52.3432808577676,9.747263394923467 52.34418455034655,9.744772068408919 52.346610160149304))"
