Timestamp,filename,first_lat,first_lon,last_lat,last_lon
1723711045.0,maschsee_2024_08_15_08_37_25_0_downsampled,52.353154917,9.741215283,52.353201717,9.74127915
1723711166.0,maschsee_2024_08_15_08_39_26_1_downsampled,52.353201717,9.74127915,52.353373517,9.74148235
1723711286.0,maschsee_2024_08_15_08_41_26_2_downsampled,52.353373533,9.74148235,52.3542258,9.740974783
1723711406.0,maschsee_2024_08_15_08_43_26_3_downsampled,52.354236733,9.74097375,52.355405317,9.740345683
1723711526.0,maschsee_2024_08_15_08_45_26_4_downsampled,52.355410717,9.740341133,52.356500833,9.7396806
1723711646.0,maschsee_2024_08_15_08_47_26_5_downsampled,52.35650475,9.739678417,52.357571533,9.739000583
1723711766.0,maschsee_2024_08_15_08_49_26_6_downsampled,52.3575789,9.738992983,52.358462583,9.737799533
1723711886.0,maschsee_2024_08_15_08_51_26_7_downsampled,52.358465917,9.7377952,52.359251167,9.736559183
1723712006.0,maschsee_2024_08_15_08_53_26_8_downsampled,52.359254683,9.736557517,52.360368683,9.73589625
1723712126.0,maschsee_2024_08_15_08_55_26_9_downsampled,52.360372683,9.735893533,52.361379133,9.7354644
1723712246.0,maschsee_2024_08_15_08_57_26_10_downsampled,52.361383567,9.735468583,52.362054183,9.736455217
1723712366.0,maschsee_2024_08_15_08_59_26_11_downsampled,52.362056733,9.736468033,52.36238955,9.738124867
1723712486.0,maschsee_2024_08_15_09_01_26_12_downsampled,52.362388,9.7381371,52.361655317,9.739364183
1723712606.0,maschsee_2024_08_15_09_03_26_13_downsampled,52.361655,9.73936955,52.3608452,9.740087817
1723712726.0,maschsee_2024_08_15_09_05_26_14_downsampled,52.360838283,9.7400933,52.36001795,9.740774017
1723712846.0,maschsee_2024_08_15_09_07_26_15_downsampled,52.360014283,9.740777633,52.359162517,9.741433083
1723712966.0,maschsee_2024_08_15_09_09_26_16_downsampled,52.359162517,9.741433083,52.358281783,9.742258933
1723713086.0,maschsee_2024_08_15_09_11_26_17_downsampled,52.358280483,9.742260267,52.35732535,9.742724767
1723713206.0,maschsee_2024_08_15_09_13_26_18_downsampled,52.357321083,9.742728667,52.356469267,9.743365483
1723713326.0,maschsee_2024_08_15_09_15_26_19_downsampled,52.35646665,9.743367667,52.355664633,9.7441802
1723713446.0,maschsee_2024_08_15_09_17_26_20_downsampled,52.3556614,9.7441813,52.35482645,9.744934067
1723713566.0,maschsee_2024_08_15_09_19_26_21_downsampled,52.354824833,9.744935283,52.353901783,9.745413517
1723713686.0,maschsee_2024_08_15_09_21_26_22_downsampled,52.353897767,9.745417633,52.353127017,9.7463023
1723713806.0,maschsee_2024_08_15_09_23_26_23_downsampled,52.3531259,9.746303967,52.352267383,9.746986633
1723713926.0,maschsee_2024_08_15_09_25_26_24_downsampled,52.352263767,9.746990417,52.35145265,9.747725717
1723714046.0,maschsee_2024_08_15_09_27_26_25_downsampled,52.351445183,9.7477301,52.350609433,9.747630583
1723714166.0,maschsee_2024_08_15_09_29_26_26_downsampled,52.350603183,9.747634133,52.349712833,9.74812675
1723714286.0,maschsee_2024_08_15_09_31_26_27_downsampled,52.349711517,9.74812785,52.3489057,9.74874675
1723714406.0,maschsee_2024_08_15_09_33_26_28_downsampled,52.3488969,9.7487513,52.34807495,9.749162767
1723714526.0,maschsee_2024_08_15_09_35_26_29_downsampled,52.34807235,9.74916415,52.347614433,9.749657417
