Timestamp,filename,first_lat,first_lon,last_lat,last_lon
1721040200.0,maschsee_2024_07_15_10_43_20_0,52.353156167,9.741315333,52.353199617,9.741256383
1721040320.0,maschsee_2024_07_15_10_45_20_1,52.353199617,9.741256383,52.353187667,9.741250367
1721040440.0,maschsee_2024_07_15_10_47_20_2,52.353187667,9.741250367,52.353206567,9.741227067
1721040560.0,maschsee_2024_07_15_10_49_20_3,52.353206567,9.741227067,52.353223983,9.741534383
1721040680.0,maschsee_2024_07_15_10_51_20_4,52.353223983,9.741534383,52.35365715,9.7414301
1721040800.0,maschsee_2024_07_15_10_53_20_5,52.35365715,9.7414301,52.354978617,9.740782433
1721040920.0,maschsee_2024_07_15_10_55_20_6,52.354978617,9.740782433,52.356230567,9.7398048
1721041040.0,maschsee_2024_07_15_10_57_20_7,52.356230567,9.7398048,52.35749625,9.739062017
1721041160.0,maschsee_2024_07_15_10_59_20_8,52.35749625,9.739062017,52.358689817,9.738103633
1721041280.0,maschsee_2024_07_15_11_01_20_9,52.358689817,9.738103633,52.359863183,9.737119767
1721041400.0,maschsee_2024_07_15_11_03_20_10,52.359863183,9.737119767,52.360990217,9.73621135
1721041520.0,maschsee_2024_07_15_11_05_20_11,52.360990217,9.73621135,52.360835517,9.736251633
1721041640.0,maschsee_2024_07_15_11_07_20_12,52.360835517,9.736251633,52.360033667,9.736909267
1721041760.0,maschsee_2024_07_15_11_09_20_13,52.360033667,9.736909267,52.361071167,9.73597685
1721041880.0,maschsee_2024_07_15_11_11_20_14,52.361071167,9.73597685,52.360879583,9.736657383
1721042000.0,maschsee_2024_07_15_11_13_20_15,52.360879583,9.736657383,52.360054017,9.736618633
1721042120.0,maschsee_2024_07_15_11_15_20_16,52.360054017,9.736618633,52.36112405,9.735823083
1721042240.0,maschsee_2024_07_15_11_17_20_17,52.36112405,9.735823083,52.362075033,9.7369964
1721042360.0,maschsee_2024_07_15_11_19_20_18,52.362075033,9.7369964,52.361937383,9.7388069
1721042480.0,maschsee_2024_07_15_11_21_20_19,52.361937383,9.7388069,52.3610293,9.739799583
